"Année","Hasdrubal","El Borma","Adam","Cherouq","Ashtart","Oued Zar","Elhajeb Guebiba","Bir ben Tar Tar","Miskar","M.L.D","Didon","Baraka","Cercina","Anaguid Est","Maamoura","Ch.Essaida","Sidi Litayem","Sidi el kilani","El Franig/Baguel/Tarfa","Dorra","Gremda/El Ain","Ezzaouia","Rhemoura","Jebel Grouz","D.S.T","Sabria","Chergui","Oudna","Robbana","El Bibane","Echouech","Sanhar","Jinene","Mozrane","Beni khalled","Gherib","D Sondes","Sidi Behara","Zinnia","Mahres","Ennakhil","Abir","El Menzeh","Isis","Nawara","Bouchra","Abir_1","Halk el Manzel","Sidi marzoug","Chalbia","Banefsej Sud","Total"
"2005","0","5200","7630","0","5300","2110","1420","0","2290","44.3","2130","0","107.2","0","0","0","0","910","0","0","50.5","69.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2970.4"
"2006","0","469.1","794.9","0","445.98","192.95","149.57","0","201.27","67.04","233.5","0","120.93","0","0","8.97","55.6","77.43","116.63","0","42.77","49.08","20.67","21.46","30.94","20.86","0","93.6","2.27","0","0","2.72","0","0","15.16","0","0","0","1.78","0.18","0","0","11.78","22.94","0","0","0","0","0","0","0","3270.08"
"2007","0","439.13","953.52","4.08","4780","1960","1620","0","188.07","1210","7070","0","115.34","0","0","320","57.05","65.02","930","0","440","570","20.03","12.65","26.84","32.41","0","708.04","1.44","0","0","4.08","0","4.97","8.73","0","0","0","1.85","1.17","5.47","0","4.46","0","0","0","0","0","0","0","0","4544.34"
"2008","0","435.12","820.84","327.22","493.64","241.66","274.35","0","173.45","93.51","501.03","0","79.09","0","0","38.25","53.82","60.83","84.65","0","42.03","55.84","23.18","17.7","24.08","32.2","4.07","191.8","2.27","43.02","1.02","3.94","0","4.07","5.16","0","0","0","0.87","0.19","7.94","1.15","0","0","0","0","0","0","0","0","0","4137.99"
"2009","3.34","437.75","606.66","435.76","420.46","309.5","231.94","7.52","185.5","118.19","416.84","1.7","55.59","0","1.7","41.91","46.6","54.24","110.59","0","39.29","55.13","5.09","21.92","24.84","23.72","15.35","161.87","0.29","30.48","4.11","5.11","0","5.17","4.55","0","0","0","0","0.23","0.36","1.22","0","0","0","0","0","0","0","0","0","3884.52"
"2010","268.88","418.11","444.63","328.57","420.91","308.05","153.21","5.61","181.68","81.73","211.14","152.7","38.13","0","113.51","59.29","44.4","51.32","75.43","0","36.45","27.94","0","38.7","27.75","18.67","15.95","122.86","0","2.2","4.03","4.19","0","3.94","2.63","0","0","0","0","0.42","0","0","0","0","0","0","0","0","0","0","0","3663.03"
"2011","300.11","353.56","352.15","320.08","340.27","220.09","191.24","51.41","160.14","84.64","137.15","128.92","46.68","0","79.49","43.24","37.44","25.65","42.22","23.18","31.07","28.52","11.36","32.79","26.95","14.74","15.56","88.21","0.78","4.9","4.87","3.77","0","3.04","1.96","0","0","0.86","0","0","0","0","0","0","0","0","0","0","0","0","0","3207.04"
"2012","430.36","333.79","324.54","3190","302.48","200.24","188.19","136.87","122.09","112.67","99.28","63.09","59.43","58.05","56.74","36.92","36.64","36.28","35.66","30.33","30.3","25.38","22.62","22.11","18.06","15.02","13.76","13.42","0.9","6.41","3.73","3.49","2.64","2.44","2.29","0","0","1.19","0","0","0","0","0","0","0","0","0","0","0","0","0","3166.4"
"2013","452.88","326.52","287.32","185.1","285.72","167.74","159.84","121.39","114.2","80.37","46.14","66.79","55.36","122.33","46.27","34.31","38.94","45.24","25.37","21.19","29.97","20.82","27.53","10.56","22.69","18.2","12.62","0","1.3","10.47","3.7","1.36","0","2.44","1.86","0","0","2.79","0","0","0","0","0","0","0","0","0","0","0","0","0","2849.33"
"2014","352.3","292.8","264.74","178.41","251.58","115.14","127.09","111.69","99.37","70.65","62.85","57.06","43.78","152.9","37.5","31.13","36.8","39.95","25.5","22.14","29.23","27.76","22.71","9.06","23.04","23.21","12.77","0","1.26","9.88","3.31","3.35","0","2.4","1.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2543.07"
